 ,❤❤❤😍😍😍
 ,Cảm động vãi
 ,Sao cô bé lại lạc ở đây??? 😊
 ,Ăn cái gậy của anh
 ,giống bài đom đóm của jack
 ,Xin tên bản nhạc nền đi admin hay quá...
 ,Tôi xém khóc
 ,Em rơi hết nước mắt rồi
 ,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
 ,❤️💙💚💛🧡💜💗💝😄
 ,Toc va vay len roi
 ,Quahay
 ,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
 ,Quá buồn luôn 😭
 ,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
 ,Xem bộ phim này tui buồn chết😭😭😭
 ,Toi xem phim nay roi
 ,Lãng mạn quá😞😞😞
 ,Phim này mình coi rồi hay nắm mà ko được tải chán thế
 ,Em xem từ hồi lớp2 òi
 ,Phim tên j vậy
 ,😣😣😣😣😣😓
 ,Phim hay quá 👍
 ,Hồi bữa tui coi gachaculd i chang như dầy luôn bây giờ mới tìm đc bản gốc
 ,Mik thích phim ni lắm luôn  á
Emotion,Sentence
 ,"Nhiều bạn yêu cầu anime quá, bạn còn phim nào đề xuất mình nhé"
 ,Như MV ĐOM ĐÓM
 ,"ngày xưa tôi luôn thích xem anime bởi mỗi một bộ phim là một câu chuyện rất cảm động, hồi đấy chỉ xem rồi cười thôi nhưng giờ xem rồi lại buồn"
 ,Và cái này gần tương đương với yêu nhau trên mạng :))))
 ,"Mình đã koi phim này rất nhiều lần
Những mình vẫn ko thể ngừng khóc"
 ,Cho mik xin tên anime để xem từ từ đc hong 😶🥺
 ,Bộ phim rừng dom đố mình tìm hoài ko thấy nhỉ
 ,BỘ PHIM HAY QUÁ
 ,😢😢😢😢
 ,Hay quá đi à 🌋🌋🌋❤️❤️❤️
 ,Anime
 ,Coi đi coi lại mấy lần nhưng vẫn buồn
 ,Ước gì có main hồi sinh hai người sống bên nhau 😢😢😢😢
 ,Tội con bé bị đánh hoài 😅😅
 ,"Nhạc hợp phim wa, cho mình xin tên zới . Xem phim mà khóc nhỉ."
 ,Mới hẹn hò đã chia ly
 ,Hay nhüng höi buon
 ,"Hồi bé xem phim, chỉ thấy nam chính tự dưng biến mất, xong nữ chính ngồi khóc, cx khóc theo
Giờ xem lại, mới hiểu được hết ý nghĩa của bộ phim.
Cảm động thực sự"
 ,Tóm tắt phim ma thái lan đi  ạ
 ,Phim cảm động và buồn ước j cặp đôi đó đc ở bên nhau 😭
 ,"Bộ phim cảm động quá:(((
Tui khóc luôn rồi 😿"
 ,Có tập 2 không?
 ,"Sao lâu vậy mà tóc chị ấy ko dài ra nhỉ ,nếu dài ra thì sẽ xong hơn 🌽🥕🍞🥐🥖🌰🍄🍎🍅🍊🍋🍌🍍🥝🍓🍒🍑🍐🍎"
 ,😭😭😭 huhi
 ,Ch
 ,Buồn lắm cơ
 ,KhócTwT
 ,Cái ôm đầu tiên và cũng là cái ôm cuối cùng
 ,Sao mọi người khóc đc hay z :(( tui coi xong cũng thấy buồn nma không đến nỗi khóc
 ,Hi
 ,Hay đấy ☺️☺️☺️☺️☺️☺️
 ,Name pls?
 ,Ad để nhạc nền nhỏ thôi:))
 ,t muốn khóc
 ,"Buồn mà mún kiện ông tác giả:((
Trời ơi. Diễn biến chia xa đột ngột quá trời
Chắc tui chết:(("
